Data,PETR3
2016-04-30,13.270000457763672
2016-05-31,10.180000305175781
2016-06-30,11.510000228881836
2016-07-31,14.010000228881836
2016-08-31,14.739999771118164
2016-09-30,15.140000343322754
2016-10-31,18.639999389648438
2016-11-30,18.469999313354492
2016-12-31,16.940000534057617
2017-01-31,16.190000534057617
2017-02-28,15.960000038146973
2017-03-31,15.149999618530273
2017-04-30,14.359999656677246
2017-05-31,13.619999885559082
2017-06-30,13.199999809265137
2017-07-31,13.800000190734863
2017-08-31,13.970000267028809
2017-09-30,15.8100004196167
2017-10-31,17.420000076293945
2017-11-30,15.949999809265137
2017-12-31,16.90999984741211
2018-01-31,21.299999237060547
2018-02-28,23.149999618530273
2018-03-31,23.360000610351562
2018-04-30,24.6299991607666
2018-05-31,22.190000534057617
